E,N,U,t
100.50147709151028,30.618199259432217,19.996865348774318,8.104160827103464e-09
99.98359672076161,31.62349536846056,39.12545153250078,5.864855798236664e-11
99.4973735442952,30.347148559324356,45.449186639863655,-5.203976221439845e-09
99.97732846863647,31.731301408959094,41.735088449911856,-1.685278736821293e-09
101.48450697297089,32.41637746134333,41.75190879411743,-3.130489284477994e-09
103.05879748913614,33.23716542007261,35.15322120987672,2.4330685745410257e-09
105.24346991094238,31.517375896167753,43.540189580498385,-3.7546065065538064e-09
109.33924717081369,32.262164947357746,35.1187896971066,-4.5153843362004853e-10
112.99092345153255,34.48498338530859,39.80590506203627,7.701633655913946e-10
118.24483477119787,34.78145291231594,6.06605409416469,9.42745265127478e-10
122.23717808403788,35.59607467587127,0.8142428988607454,-1.5650698966177753e-09
128.67251857001116,36.73271689083989,7.7942421624515275,1.0931096833491415e-10
-1620056636442946.5,-2112813839604345.0,8900726788000173.0,-29378047.805726442
-53988888673.152695,-93985869056.73792,-334961764265.0316,-1143.2915264256346
-7813062781.783722,-16052592474.70176,-33183626554.490265,-122.90883616125625
-1364496046318.0886,-3557304859793.3066,-6951911583313.449,-25436.220702548224
-9429549966623.414,-33599720727850.156,184723444117617.06,-599945.1454999584
-259009786357632.5,-1632384267803580.0,2882985974985905.0,-9979724.931456273
16108163.63679704,-233471420.51947284,-1261671139.4424207,-4.197898878457054
1795158646.7750216,-8335294152.037899,-22209031275.48783,-77.62218820583979
8524805742.037327,-20624046589.21997,-59282994302.54108,-206.32311322069415
52207006365.4106,-78300600020.65253,-244554276157.24228,-850.8015987954016
322500897881.8159,-359252227098.7229,-1189071952409.5225,-4154.635224925747
141681714477.6181,-100693028160.6648,-1126374272255.3047,-3680.687095195507
454559585608.20264,-286230254114.0327,-2943160357484.2437,-9657.561840814202
664749063282.2361,-335080391126.2578,-3586896470613.1636,-11840.43047745111
1333841940416.5327,-552072108966.4668,-2800035272319.0713,-10155.260935111657
2372269704955.9307,-876734999635.1152,-4469744859993.844,-16554.55319453612
466170680033.1035,-160539673584.06177,-1617789700646.0327,-5492.6014819620395
781255400199.1514,-336406704221.10645,-1383265285277.3127,-5267.665675480672
306314104915.2964,-99315960677.60767,-887737011189.1351,-3077.670270176549
550392514519.5177,-184137563950.5171,-1541274412895.299,-5371.091813567751
399014298867.6322,-145214899842.38403,-1057828999995.7192,-3730.0203656709145
135334610823.92181,-35971509581.44983,-350837084123.1832,-1231.2849603818659
305778431572.7549,-52858968274.86426,-766014470081.1208,-2687.1286573803895
340809778967.6587,-38396087212.41785,-848575907603.3593,-2976.0711428011955
98422738987.60214,-5515610838.91095,-231142728047.9663,-820.2712894972838
77873600891.82108,2640309806.2132263,-176935421900.4051,-631.240418688984
129925089834.75844,4905017399.642822,-202072706909.13745,-798.0068058113853
104119256773.6629,18187875046.08972,-213214391398.3488,-781.1214114921488
62685557147.15387,16935863760.549591,-115098970978.09875,-436.1927469912965
31574436954.781227,8536450070.318268,-55401391837.198814,-212.81135694265188
20041627140.99701,5838651277.977119,-31882812998.378906,-126.7199067095725
5429673188.028751,2033938672.2716255,-7906044771.330331,-32.689293507559796
16423033486.064486,7020189890.563187,-21188121066.258484,-92.15389770797175
15692921333.480042,7220263832.12619,-21161962407.12669,-91.05446332552414
6194825211.423925,3343167887.4771595,-8531070441.77673,-36.876051134361575
10937951149.250984,6449654381.309132,-16232077007.066935,-68.702418183293
5027771366.286794,3425884277.9165306,-7567460244.231798,-32.38246253972071
